"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"abs"	"DEG_type"
"SEMA4B"	1.28321683403805	12.0254313283208	10.9041294623022	2.02133236216059e-24	8.04114218305094e-22	44.7042399494429	1.28321683403805	"UP"
"ODZ3"	-2.70117254756871	5.23480501253133	-10.8996215158228	2.10008492313208e-24	8.08344622857576e-22	44.6667119091348	2.70117254756871	"Down"
"PDCD1LG2"	-2.18403984143763	4.96165989974937	-10.8981483374985	2.12647655960429e-24	8.08344622857576e-22	44.6544497072556	2.18403984143763	"Down"
"IL10"	-1.63774358879492	3.31241127819549	-10.8815584087869	2.44744194654345e-24	8.99087264507095e-22	44.5164226900713	1.63774358879492	"Down"
"ARSI"	-2.46146733615222	5.89041278195489	-10.8804604437014	2.47030874733038e-24	8.99087264507095e-22	44.5072916911436	2.46146733615222	"Down"
"BTBD16"	3.87727065010571	6.17560476190476	10.8488521960365	3.22796616937366e-24	1.13730060185909e-21	44.2446413204264	3.87727065010571	"UP"
"PLA2G7"	-1.74885928646934	6.52901027568922	-10.8468714889975	3.28248845145916e-24	1.13730060185909e-21	44.2281962707522	1.74885928646934	"Down"
"SLFN11"	-1.59648222515856	8.23327393483709	-10.8434823313619	3.37791254898722e-24	1.13730060185909e-21	44.2000611624751	1.59648222515856	"Down"
"POSTN"	-3.40907708773785	10.2624814536341	-10.8430333382859	3.39075942329086e-24	1.13730060185909e-21	44.1963342009986	3.40907708773785	"Down"
"MME"	-2.59414432346723	8.6535664160401	-10.8405985563217	3.46127556996758e-24	1.13862653653587e-21	44.1761252348931	2.59414432346723	"Down"
"PLS3"	-1.05526983615222	11.7662120300752	-10.838053498859	3.53654436313688e-24	1.14143637501546e-21	44.1550035945674	1.05526983615222	"Down"
"ADAM19"	-1.99710608879494	8.57193759398496	-10.7725043751714	6.14905308867336e-24	1.91246731154266e-21	43.6119340505204	1.99710608879494	"Down"
"FGFR3"	2.75883637420719	10.7861052631579	10.7616540596658	6.73749118346702e-24	2.05806293186405e-21	43.5222130940397	2.75883637420719	"UP"
"ICAM1"	-1.74482460887948	10.1219481203008	-10.6882887688138	1.24824936500037e-23	3.68147476512006e-21	42.9168581434318	1.74482460887948	"Down"
"CTSL1"	-1.31022274841436	11.1309137844612	-10.6817102966206	1.31906542224394e-23	3.76065551881747e-21	42.8626888095912	1.31022274841436	"Down"
"FUT4"	-1.13708516913318	7.23275137844611	-10.6671223509767	1.49066790512887e-23	4.17997878094964e-21	42.7426324498084	1.13708516913318	"Down"
"NTRK1"	-1.32521947145877	2.04465238095238	-10.6651889909149	1.51501627743995e-23	4.17997878094964e-21	42.7267280185508	1.32521947145877	"Down"
"BAG2"	-1.43073282241015	7.62425037593985	-10.6403081998217	1.86598611274545e-23	5.06659657851169e-21	42.5221931001964	1.43073282241015	"Down"
"ASAM"	-2.2345427167019	5.73144486215539	-10.6383733561561	1.89644653706944e-23	5.06884600986091e-21	42.5062986195784	2.2345427167019	"Down"
"HTRA3"	-2.27768735729387	9.10151679197995	-10.6274213669074	2.07841638134508e-23	5.38687736655893e-21	42.4163597186705	2.27768735729387	"Down"
"SYTL1"	1.32676894820296	10.7223917293233	10.6214785049133	2.18431607524061e-23	5.57685235568147e-21	42.3675778226278	1.32676894820296	"UP"
"PLEKHA4"	-1.53037869450317	8.27224060150376	-10.6007241814445	2.59799443549458e-23	6.44076707443048e-21	42.1973352525485	1.53037869450317	"Down"
