ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,114,-0.554415735,-1.762480204,8.72E-06,0.000195755,0.000144959,3248,"tags=45%, list=22%, signal=35%",51010/10459/10892/4436/55183/3135/5950/79915/972/3805/1604/7186/8482/10865/8809/814/23529/2865/51704/7805/8140/30009/3554/2867/7293/117854/91543/10666/2048/51284/64127/940/10859/6504/64581/54440/942/114548/51744/5788/7292/26191/5027/10417/8013/695/3586/3553/5650/25818/3569
GOBP_WOUND_HEALING,GOBP_WOUND_HEALING,380,-0.436985625,-1.47469261,1.07E-05,0.000235768,0.000174589,3087,"tags=34%, list=21%, signal=28%",84959/2811/6707/340205/2626/953/7094/7076/4162/84034/308/7980/7414/64805/9162/170692/23499/10077/3170/3848/9002/5294/2155/6915/135/4853/2768/6376/710/7409/7476/3936/7852/1832/150/6403/171389/9066/54566/5588/2159/2303/51330/3572/4067/9241/10019/5627/6279/2246/87/6281/1607/3932/131566/5329/83478/5156/64094/2192/2162/3678/6556/5345/10979/59/2247/23208/7454/725/5592/2316/3552/7128/7168/10398/6812/2149/1906/2048/7043/7124/9060/7042/5328/7057/83706/2621/81029/64581/10630/2152/1511/10855/5159/558/114897/4638/60681/309/3690/301/4015/4921/5341/2207/857/5055/5270/6288/3162/11117/1365/348/2153/5023/1289/135228/1277/7448/3084/2151/3479/1281/5265/1311/11009/4321/3569/2069/2191
GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS,GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS,24,-0.760728237,-1.940397972,1.11E-05,0.000244476,0.000181038,1145,"tags=50%, list=8%, signal=46%",6278/729230/199/6352/6387/2358/1230/56833/7941/3627/9353/26585
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNALING_PATHWAY,GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNALING_PATHWAY,181,-0.504365172,-1.654977573,1.14E-05,0.000249887,0.000185045,2075,"tags=27%, list=14%, signal=23%",171389/9258/58484/89870/23547/4067/2534/2099/11027/9971/2219/409/7096/2867/11314/51296/23643/7128/91543/81793/4210/51284/7124/3824/79931/2672/64127/54209/64581/114548/10333/7305/115352/26191/26253/51435/330/84868/146722/3662/857/3055/695/118788/929/81035/4057/51311
GOBP_CELLULAR_DEFENSE_RESPONSE,GOBP_CELLULAR_DEFENSE_RESPONSE,44,-0.679205735,-1.92976955,1.20E-05,0.000259128,0.000191887,2921,"tags=61%, list=20%, signal=49%",3135/3805/3823/3822/135/1235/1232/50852/51715/51473/6693/23643/729230/3702/10578/4068/1234/10871/4332/5551/23601/7305/4688/653361/728/10288/4283
GOBP_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,GOBP_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,24,-0.758247175,-1.934069501,1.24E-05,0.000267566,0.000198136,1299,"tags=50%, list=9%, signal=46%",4739/6278/729230/6351/6352/6348/6354/11240/6347/3627/10563/6366
GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION,GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION,104,-0.558607411,-1.756200976,1.68E-05,0.000352221,0.000260824,3098,"tags=44%, list=21%, signal=35%",169200/84959/9398/920/972/10234/5457/3204/9370/7071/4853/9290/814/140685/4067/3059/51176/1435/9770/1021/10272/50604/3123/4739/3458/9935/4254/4982/7124/146433/2124/54209/10859/7305/6422/6348/1230/8111/714/11025/2200/4057/3624/7130/11006/4920
GOBP_LYMPHOCYTE_COSTIMULATION,GOBP_LYMPHOCYTE_COSTIMULATION,44,-0.671946621,-1.909144844,1.93E-05,0.000402688,0.000298196,1906,"tags=48%, list=13%, signal=42%",4067/2534/3932/10673/916/3956/921/1236/940/942/7292/29851/941/857/29126/6363/10288/80380/11006/6366/1803
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,103,-0.554224513,-1.742722198,1.99E-05,0.000412204,0.000305242,2234,"tags=40%, list=15%, signal=34%",8809/4602/5588/3570/9308/51176/246778/30009/6095/3123/3458/916/6693/2529/4818/50943/4063/91543/8651/3122/84695/3561/940/114836/54440/864/942/114548/3594/1880/7292/9760/301/3662/941/3071/26279/29126/6363/3559/3569
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,109,-0.544367493,-1.723740269,2.03E-05,0.000418215,0.000309694,3163,"tags=48%, list=22%, signal=38%",10892/54542/5971/26022/257101/100/596/25/3718/2841/3549/8809/4602/639/3570/9308/51176/7535/246778/30009/6095/3123/3458/6693/8320/2529/3702/50943/4063/91543/8651/3122/84695/3561/114836/944/54440/864/942/114548/3594/1880/7292/9760/301/3662/941/3071/26279/6363/11006/3569
